"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2020","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2021","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2022","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2023","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2024","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2015","Quintile 1","18","England","Unknown","0"," ",""
"2016","Quintile 1","18","England","Unknown","0"," ",""
"2017","Quintile 1","18","England","Unknown","0"," ",""
"2018","Quintile 1","18","England","Unknown","0"," ",""
"2019","Quintile 1","18","England","Unknown","0"," ",""
"2020","Quintile 1","18","England","Unknown","0"," ",""
