"Year","POLAR4 Quintile","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2015","Quintile 5","18","Northern Ireland","Man","1410","3520","0.4"
"2016","Quintile 5","18","Northern Ireland","Man","1370","3460","0.398"
"2017","Quintile 5","18","Northern Ireland","Man","1350","3380","0.398"
"2018","Quintile 5","18","Northern Ireland","Man","1280","3290","0.388"
"2019","Quintile 5","18","Northern Ireland","Man","1280","3120","0.40900000000000003"
"2020","Quintile 5","18","Northern Ireland","Man","1440","3100","0.465"
"2021","Quintile 5","18","Northern Ireland","Man","1620","3100","0.521"
"2022","Quintile 5","18","Northern Ireland","Man","1490","3210","0.465"
"2023","Quintile 5","18","Northern Ireland","Man","1450","3250","0.447"
"2024","Quintile 5","18","Northern Ireland","Man","1380","3280","0.421"
"2015","Quintile 5","18","England","Man","29250","74020","0.395"
"2016","Quintile 5","18","England","Man","29950","73290","0.40900000000000003"
"2017","Quintile 5","18","England","Man","30710","73290","0.419"
"2018","Quintile 5","18","England","Man","30160","72130","0.418"
"2019","Quintile 5","18","England","Man","30600","70980","0.431"
"2020","Quintile 5","18","England","Man","30990","70670","0.438"
"2021","Quintile 5","18","England","Man","35360","73070","0.484"
"2022","Quintile 5","18","England","Man","34910","74970","0.466"
"2023","Quintile 5","18","England","Man","34520","76830","0.449"
"2024","Quintile 5","18","England","Man","35140","77100","0.456"
"2015","Quintile 5","18","Scotland","Man","3050","9510","0.32"
"2016","Quintile 5","18","Scotland","Man","3110","9400","0.331"
"2017","Quintile 5","18","Scotland","Man","2960","9170","0.323"
"2018","Quintile 5","18","Scotland","Man","3000","8770","0.342"
"2019","Quintile 5","18","Scotland","Man","2800","8620","0.325"
"2020","Quintile 5","18","Scotland","Man","2920","8520","0.343"
"2021","Quintile 5","18","Scotland","Man","3290","8900","0.369"
"2022","Quintile 5","18","Scotland","Man","3360","9180","0.366"
"2023","Quintile 5","18","Scotland","Man","3240","9070","0.357"
"2024","Quintile 5","18","Scotland","Man","3510","9290","0.378"
"2015","Quintile 5","18","Wales","Man","1000","2490","0.403"
"2016","Quintile 5","18","Wales","Man","990","2300","0.432"
"2017","Quintile 5","18","Wales","Man","980","2330","0.42"
"2018","Quintile 5","18","Wales","Man","950","2250","0.424"
"2019","Quintile 5","18","Wales","Man","980","2310","0.422"
"2020","Quintile 5","18","Wales","Man","980","2250","0.434"
"2021","Quintile 5","18","Wales","Man","1090","2240","0.486"
