"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2023","Quintile 2","18","Scotland","Man","850","5470","0.156"
"2024","Quintile 2","18","Scotland","Man","870","5660","0.154"
"2015","Quintile 2","18","Wales","Man","540","3940","0.136"
"2016","Quintile 2","18","Wales","Man","540","3550","0.153"
"2017","Quintile 2","18","Wales","Man","530","3620","0.148"
"2018","Quintile 2","18","Wales","Man","550","3550","0.155"
"2019","Quintile 2","18","Wales","Man","530","3400","0.156"
"2020","Quintile 2","18","Wales","Man","540","3280","0.165"
"2021","Quintile 2","18","Wales","Man","600","3400","0.17500000000000002"
"2022","Quintile 2","18","Wales","Man","570","3400","0.166"
"2023","Quintile 2","18","Wales","Man","540","3590","0.151"
"2024","Quintile 2","18","Wales","Man","530","3620","0.147"
"2015","Quintile 3","18","Northern Ireland","Man","570","2700","0.21"
"2016","Quintile 3","18","Northern Ireland","Man","570","2670","0.214"
"2017","Quintile 3","18","Northern Ireland","Man","580","2640","0.222"
"2018","Quintile 3","18","Northern Ireland","Man","540","2560","0.212"
"2019","Quintile 3","18","Northern Ireland","Man","520","2420","0.215"
"2020","Quintile 3","18","Northern Ireland","Man","680","2400","0.281"
"2021","Quintile 3","18","Northern Ireland","Man","800","2400","0.332"
"2022","Quintile 3","18","Northern Ireland","Man","700","2480","0.281"
"2023","Quintile 3","18","Northern Ireland","Man","710","2510","0.281"
"2024","Quintile 3","18","Northern Ireland","Man","640","2520","0.252"
"2015","Quintile 3","18","England","Man","13410","62870","0.213"
"2016","Quintile 3","18","England","Man","13810","61780","0.224"
"2017","Quintile 3","18","England","Man","13770","60480","0.228"
"2018","Quintile 3","18","England","Man","13760","59230","0.232"
"2019","Quintile 3","18","England","Man","13830","57300","0.241"
"2020","Quintile 3","18","England","Man","14090","56440","0.25"
"2021","Quintile 3","18","England","Man","16770","58600","0.28600000000000003"
"2022","Quintile 3","18","England","Man","16670","60610","0.275"
"2023","Quintile 3","18","England","Man","15950","62020","0.257"
"2024","Quintile 3","18","England","Man","16380","62680","0.261"
"2015","Quintile 3","18","Scotland","Man","1050","6110","0.17200000000000001"
"2016","Quintile 3","18","Scotland","Man","1000","5900","0.17"
"2017","Quintile 3","18","Scotland","Man","970","5590","0.17300000000000001"
"2018","Quintile 3","18","Scotland","Man","960","5260","0.182"
"2019","Quintile 3","18","Scotland","Man","860","5200","0.166"
"2020","Quintile 3","18","Scotland","Man","940","5090","0.184"
"2021","Quintile 3","18","Scotland","Man","1040","5310","0.197"
"2022","Quintile 3","18","Scotland","Man","1100","5410","0.20400000000000001"
"2023","Quintile 3","18","Scotland","Man","1010","5460","0.184"
"2024","Quintile 3","18","Scotland","Man","1050","5480","0.191"
"2015","Quintile 3","18","Wales","Man","640","3630","0.177"
"2016","Quintile 3","18","Wales","Man","720","3640","0.199"
"2017","Quintile 3","18","Wales","Man","690","3580","0.192"
"2018","Quintile 3","18","Wales","Man","720","3330","0.216"
"2019","Quintile 3","18","Wales","Man","620","3370","0.184"
"2020","Quintile 3","18","Wales","Man","630","3180","0.196"
"2021","Quintile 3","18","Wales","Man","760","3270","0.233"
"2022","Quintile 3","18","Wales","Man","720","3330","0.217"
"2023","Quintile 3","18","Wales","Man","690","3470","0.198"
"2024","Quintile 3","18","Wales","Man","680","3500","0.194"
"2015","Quintile 4","18","Northern Ireland","Man","640","2620","0.244"
"2016","Quintile 4","18","Northern Ireland","Man","700","2580","0.271"
"2017","Quintile 4","18","Northern Ireland","Man","620","2540","0.242"
"2018","Quintile 4","18","Northern Ireland","Man","680","2480","0.274"
"2019","Quintile 4","18","Northern Ireland","Man","690","2350","0.292"
"2020","Quintile 4","18","Northern Ireland","Man","840","2330","0.36"
"2021","Quintile 4","18","Northern Ireland","Man","830","2340","0.357"
